row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any
197,PETTIMED,observed_fact,PETTIMED's share price is down 35.71%,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:48+00:00,2026-05-04T08:23:48+00:00,fanout_0012,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets PET/PETT/PETTIMED; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
200,PETT,observed_fact,PETTIMED's share price is down 35.71%,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:48+00:00,2026-05-04T08:23:48+00:00,fanout_0012,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets PET/PETT/PETTIMED; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
240,GCM CORPORATION,observed_fact,Chrysos Corporation's share price fell 6.39% despite a positive trading update,active,0.8,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:55+00:00,2026-05-04T08:23:55+00:00,fanout_0008,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets CHRYSOS/C79/GCM; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
261,A2 MILK,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:23:57+00:00,2026-05-04T08:23:57+00:00,fanout_0002,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets A2M/A2 MILK; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
283,A2M,observed_fact,A2 MILK's share price dropped 10% due to a product recall,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:01+00:00,2026-05-04T08:24:01+00:00,fanout_0002,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets A2M/A2 MILK; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
288,A2 MILK,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:02+00:00,2026-05-04T08:24:02+00:00,fanout_0003,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets A2M/A2 MILK; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
310,A2M,observed_fact,A2 MILK's share price has dropped from almost $10 back to $6.59 in a few months,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:07+00:00,2026-05-04T08:24:07+00:00,fanout_0003,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets A2M/A2 MILK; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
365,ACCENT GROUP,observed_fact,ACCENT GROUP's share price is down 12.9% after a downgrade announcement,active,0.83,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:15+00:00,2026-05-04T08:24:15+00:00,fanout_0006,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets ACC/ACCENT GROUP; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
392,ACCENT GROUP,observed_fact,ACCENT GROUP's EBIT for the second half has been decreased by $7 million,active,0.82,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:19+00:00,2026-05-04T08:24:19+00:00,fanout_0005,50,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets ACC/ACCENT GROUP; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
456,GCM CORPORATION,catalyst,Positive trading update for Chrysos Corporation,active,0.72,youtube_transcript:asx-daily-rundown-atlassian-lifts-tech-a2-milk-recall-shock-accent-group-all-time-lows:88e960386e503796,youtube_transcript,"ASX Daily Rundown | Atlassian Lifts Tech, A2 Milk Recall Shock & Accent Group All-Time Lows",2026-05-04T08:15:01Z,2026-05-04T08:24:29+00:00,2026-05-04T08:24:29+00:00,fanout_0016,42,preserve_company_alias,alias_merge_candidate_later,row text explicitly targets CHRYSOS/C79/GCM; entity is part of an alias-fragmented group that needs a separate ASX identity audit,medium,HIGH,yes,company_memory.sqlite:memory_entries,company_memory.sqlite:canonical_alias_after_identity_audit
