row_id,ticker/entity,memory_type,statement/text,status,confidence,source_id,source_type,source_title,source_published_at,created_at,updated_at,duplicate_cluster_id,fanout_cluster_size,classification,proposed_action,reason,certainty,risk_level,manual_review_required,original_store,proposed_destination_if_any
7,AUA,catalyst,Increasing cash receipts suggest improving financial health and customer demand,active,0.76,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,candidate_manual_review,manual_review,row has provenance but insufficient deterministic target/scope evidence for automated cleanup,low,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
9,AUA,risk,"tax incentives, which are not guaranteed to continue",active,0.74,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:30:43+00:00,2026-04-30T07:30:43+00:00,DATA_MISSING,DATA_MISSING,candidate_manual_review,manual_review,row has provenance but insufficient deterministic target/scope evidence for automated cleanup,low,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
12,AUA,catalyst,Increasing cash receipts suggest a growing customer base or higher sales volume,active,0.76,youtube_transcript:audeara-2026-march-quarterly-4c:400fcc2ac0d9c244,youtube_transcript,Audeara 2026 March Quarterly (4C),2026-04-29T20:00:04Z,2026-04-30T07:36:36+00:00,2026-04-30T07:36:36+00:00,DATA_MISSING,DATA_MISSING,candidate_manual_review,manual_review,row has provenance but insufficient deterministic target/scope evidence for automated cleanup,low,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1178,EDV,observed_fact,"{'date': '2026-05-04', 'description': ""Discussion on Endeavour Group's valuation metrics and operational performance within the ASX 200 retail sector.""}",active,0.86,news:art_f10061794cc4a0954079f620,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:10:41+00:00,2026-05-04T16:10:41+00:00,DATA_MISSING,DATA_MISSING,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target END/EDV/ENDV/ENDEAVOR GROUP, and entity matches; preserve text until source review confirms display-safe normalization",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1184,COH,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1185,EZZ,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1186,AROVELLA,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1187,4DMEDICAL,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1188,LTR PHARMA,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1189,CSL,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1190,RESMED,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1191,PARADIGM BIOPHARMACEUTICALS,observed_fact,"{'date': '2026-05-04', 'description': 'Sonic Healthcare faces profit pressure despite revenue growth, highlighting margin pressure and debt considerations.'}",active,0.89,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0063,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1192,COH,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1193,EZZ,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1194,AROVELLA,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, and entity matches; preserve text until source review confirms display-safe normalization",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1195,4DMEDICAL,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1196,LTR PHARMA,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1197,CSL,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1198,RESMED,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1199,PARADIGM BIOPHARMACEUTICALS,observed_fact,"{'date': '2026-05-04', 'description': 'AROVELLA undergoes major board changes after shareholder action, with a strategic review underway.'}",active,0.88,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0061,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target AROVELLA, but current entity is not in the detected target alias set",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1200,COH,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1201,EZZ,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,"raw dict-like row appears to target EZZ, and entity matches; preserve text until source review confirms display-safe normalization",medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1202,AROVELLA,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1203,4DMEDICAL,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1204,LTR PHARMA,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1205,CSL,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1206,RESMED,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
1207,PARADIGM BIOPHARMACEUTICALS,management_guidance,"{'date': '2026-05-04', 'description': 'EZZ enters the wellness market with its MeTime range, targeting growing demand for functional supplements.'}",active,0.87,news:art_e4faef3c4644fe5bb3b66e32,newspaper4k,DATA_MISSING,2026-05-04T16:07:24Z,2026-05-04T16:11:57+00:00,2026-05-04T16:11:57+00:00,fanout_0062,8,candidate_raw_payload_review,manual_review,raw dict-like row appears to be market/macro context in company memory; do not expire until source and destination are reviewed,medium,MEDIUM,yes,company_memory.sqlite:memory_entries,manual_review
