section,order,document_id,ticker,filing_document_type,document_title_from_path,pdf_path,source_path_exists_current_turn,source_pdf_size_bytes,current_title_only_document_class,canary_candidate_allowed_by_title_only_policy,prior_packet_order,prior_retry_submission_status,third_canary_decision
eligible_primary,1,508fc892-ae88-45ec-981f-cd9e124c8375,AAU,annual/report,2026 03 31_annual report and full year statutory accounts,/data/asx/docs/AAU/financial_performance/2026-03-31_annual-report-and-full-year-statutory-accounts_508fc892-ae88-45ec-981f-cd9e124c8375.pdf,true,1804699,unknown_document,true,4,not_submitted,eligible_after_approval
eligible_primary,2,96e9aabd-44dc-4c2c-be8c-74248a0a9025,ATM,annual/report,2026 04 01_full year statutory accounts,/data/asx/docs/ATM/financial_performance/2026-04-01_full-year-statutory-accounts_96e9aabd-44dc-4c2c-be8c-74248a0a9025.pdf,true,4094864,unknown_document,true,5,not_submitted,eligible_after_approval
eligible_primary,3,aacc4c29-3089-48cf-8b82-8004134f9387,AM5,half_year/report,2026 03 13_interim financial report half year ended 31 december 2025,/data/asx/docs/AM5/financial_performance/2026-03-13_interim-financial-report-half-year-ended-31-december-2025_aacc4c29-3089-48cf-8b82-8004134f9387.pdf,true,1368198,financial_report,true,6,not_submitted,eligible_after_approval
eligible_primary,4,0ed0104f-f29a-4068-8ff7-370f14fead98,AQX,half_year/report,2026 03 13_half year financial report 31 december 2025,/data/asx/docs/AQX/financial_performance/2026-03-13_half-year-financial-report-31-december-2025_0ed0104f-f29a-4068-8ff7-370f14fead98.pdf,true,2521397,unknown_document,true,7,not_submitted,eligible_after_approval
eligible_primary,5,b43a16fb-7660-4bf7-96ab-0db641cd4032,CRS,half_year/report,2026 03 13_half year financial report,/data/asx/docs/CRS/financial_performance/2026-03-13_half-year-financial-report_b43a16fb-7660-4bf7-96ab-0db641cd4032.pdf,true,1383745,unknown_document,true,8,not_submitted,eligible_after_approval
eligible_primary,6,da9f9ea5-6596-464f-af14-5acf12f9b050,CLV,quarterly/other,2026 03 24_clover 1h fy26 results announcement,/data/asx/docs/CLV/financial_performance/2026-03-24_clover-1h-fy26-results-announcement_da9f9ea5-6596-464f-af14-5acf12f9b050.pdf,true,232373,unknown_document,true,9,not_submitted,eligible_after_approval
eligible_primary,7,035c6758-7aed-41a6-9e84-ad154125d431,CTM,quarterly/other,2026 03 30_financial report 31 december 2025,/data/asx/docs/CTM/financial_performance/2026-03-30_financial-report-31-december-2025_035c6758-7aed-41a6-9e84-ad154125d431.pdf,true,1761954,unknown_document,true,10,not_submitted,eligible_after_approval
excluded_prior_primary,1,2fa98e79-9d34-4cc6-9977-bfc8e9b7eeb7,BHP,annual/4E,2025 08 19_bhp appendix 4e and 2025 annual report,/data/asx/docs/BHP/financial_performance/2025-08-19_bhp-appendix-4e-and-2025-annual-report_2fa98e79-9d34-4cc6-9977-bfc8e9b7eeb7.pdf,true,15541285,not_rechecked_title_only,not_rechecked,1,submitted_ok_low_confidence,excluded_already_submitted
excluded_prior_primary,2,918f0b4a-563b-4e53-962a-82f43882d667,PLS,quarterly/activities,2026 04 02_pls march 2026 quarterly activities report advisory,/data/asx/docs/PLS/financial_performance/2026-04-02_pls-march-2026-quarterly-activities-report-advisory_918f0b4a-563b-4e53-962a-82f43882d667.pdf,true,144894,advisory_only_document,false,2,submitted_failed_validation_gate_scale_unknown,excluded_advisory_only
excluded_prior_primary,3,789130bc-b2db-45b3-a8e0-46d8c71588f1,SFR,quarterly/activities,2026 04 09_march 2026 quarterly report advisory,/data/asx/docs/SFR/financial_performance/2026-04-09_march-2026-quarterly-report-advisory_789130bc-b2db-45b3-a8e0-46d8c71588f1.pdf,true,110507,advisory_only_document,false,3,not_submitted,excluded_advisory_only
